RIN,Primary Key,Date  Occurred,Time  Occurred,Location,Area  Command,Nature of Contact,Reason Desc,R2R Level,Master Subject ID,Subject  Sex,Subject  Race,Subject  Ethnicity,Subject Conduct Desc,Subject Resistance,Weapon Used 1,Weapon Used 2,Weapon Used 3,Weapon Used 4,Weapon Used 5,Number  Shots,Effect on Officer,Officer  Organization Desc,Officer  Commission Date,Officer Yrs of Service,X-Coordinate,Y-Coordinate,Council District,CENSUS_TRACT,ZIP,COUNTY,county description
214273,20183650009,12/31/2018 0:00,,405 E 7TH ST,GE,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459550739: 20183650009,F,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,3/20/2015 0:00,4,3115628,10070639,9,-,78701,1,TRAVIS COUNTY
214579,20183650938,12/31/2018 0:00,,1500 E PARMER LN,ED,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,384052160: 20183650938,M,B,N,NO CONTRIBUTING CHARACTERISTICS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 700 REG II PATROL,12/22/2017 0:00,1,3142154,10115695,7,-,78753,1,TRAVIS COUNTY
214343,20183651023,12/31/2018 0:00,,8100 S 1ST ST,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,13828766: 20183651023,M,W,H,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,1,NO COMPLAINT OF INJURY/PAIN,DAVID 500 REG IV PATROL,7/8/2016 0:00,2,3098724,10039131,2,-,78748,1,TRAVIS COUNTY
214342,20183651046,12/31/2018 0:00,,E US 290 HWY SVRD EB / NORTHEAST DR,ID,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,5015693: 20183651046,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,IDA 400 REG I PATROL,11/30/2012 0:00,6,3133500,10091112,1,-,78723,1,TRAVIS COUNTY
214462,20183651188,12/31/2018 0:00,,8600 BLOCK S 1ST ST,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459700358: 20183651188,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 500 REG IV PATROL,9/2/2018 0:00,0,3097453,10036668,2,-,78748,1,TRAVIS COUNTY
214407,20183651467,12/31/2018 0:00,,7200 N IH 35 SVRD SB,ID,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,162464792: 20183651467,F,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,CED - PRONGS-ENTER # CYCLES (use #shots field),,,,,1,NO COMPLAINT OF INJURY/PAIN,IDA 300 REG I PATROL,12/22/2017 0:00,1,3125789,10094778,4,-,78752,1,TRAVIS COUNTY
214340,20183651467,12/31/2018 0:00,1958,7200 N IH 35 SVRD SB,ID,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,162464792: 20183651467,F,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 100 REG I PATROL,7/9/1999 0:00,19,3125789,10094778,4,-,78752,1,TRAVIS COUNTY
214406,20183651467,12/31/2018 0:00,1958,7200 N IH 35 SVRD SB,ID,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,162464792: 20183651467,F,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 500 REG I PATROL,6/23/2006 0:00,13,3125789,10094778,4,-,78752,1,TRAVIS COUNTY
214463,20183651188,12/31/2018 0:00,1810,8600 BLOCK S 1ST ST,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459700358: 20183651188,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 600 EVENINGS REG IV PATROL,3/20/2015 0:00,4,3097453,10036668,2,-,78748,1,TRAVIS COUNTY
215459,20183651046,12/31/2018 0:00,1840,E US 290 HWY SVRD EB / NORTHEAST DR,ID,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,5015693: 20183651046,F,W,H,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,,IDA 400 REG I PATROL,7/8/2016 0:00,2,3133500,10091112,1,-,78723,1,TRAVIS COUNTY
